시군명	충전소명	소재지지번주소	소재지도로명주소	소재지우편번호	WGS84위도	WGS84경도	운영기관명	충전기타입명
용인시	상갈동주민센터	경기도 용인시 기흥구 상갈동 472-1번지 상갈동주민센터	경기도 용인시 기흥구 상갈로 2	17072	37.2665825552	127.1076904244	에버온	AC완속
용인시	역삼동행정복지센터	경기도 용인시 처인구 역북동 744번지 역삼동행정복지센터	경기도 용인시 처인구 명지로 16	17055	37.2345607081	127.1881585796	에버온	AC완속
용인시	상하동행정복지센터	경기도 용인시 기흥구 상하동 435-12번지 상하동행정복지센터	경기도 용인시 기흥구 어정로 62-23	16994	37.2705201993	127.1383714202	에버온	AC완속
용인시	동백동주민센터	경기도 용인시 기흥구 중동 866-1번지 동백동주민센터	경기도 용인시 기흥구 동백중앙로 214	17007	37.2725250584	127.1516488488	에버온	AC완속
용인시	풍덕천2동주민센터	경기도 용인시 수지구 풍덕천동 1051-2번지	경기도 용인시 수지구 풍덕천로 51	16844	37.3194571844	127.0887933786	에버온	AC완속
용인시	용인시 농업기술센터	경기도 용인시 처인구 원삼면 사암리 858-1번지	경기도 용인시 처인구 원삼면 농촌파크로 80	17167	37.1722883428	127.2992677564	한국전기차충전서비스	DC차데모+AC3상+DC콤보
용인시	용인시 국토정보교육원	경기도 용인시 처인구 운학동 624번지 주차장	경기도 용인시 처인구 동부로 213-20	17141	37.2222510748	127.2299713957	차지비	AC완속
용인시	용인시 이마트(죽전점)	경기도 용인시 수지구 죽전동 1282번지 본관3층 B1구역	경기도 용인시 수지구 포은대로 552	16896	37.3253249176	127.1100038667	차지비	AC완속
용인시	용인시 이마트(보라점)	경기도 용인시 기흥구 보라동 623-1번지 본관4층 F구역	경기도 용인시 기흥구 한보라1로 92	17080	37.2475093564	127.1050944654	차지비	AC완속
용인시	용인시 이마트TR(구성점)	경기도 용인시 기흥구 보정동 1019-488번지 본관B2층 I구역	경기도 용인시 기흥구 용구대로 2457	16907	37.3039712756	127.1046527186	차지비	AC완속
용인시	용인시 삼성화재 교통박물관	경기도 용인시 처인구 포곡읍 유운리 432번지	경기도 용인시 처인구 포곡읍 에버랜드로376번길 171	17022	37.3003720757	127.2169533071	차지비	AC완속
용인시	용인시청	경기도 용인시 처인구 삼가동 556 지하1층 가03 기둥옆					환경부(한국자동차환경협회)	DC차데모+AC3상+DC콤보
용인시	죽전휴게소(서울방향)	경기도 용인시 수지구 죽전동 866-2번지	경기도 용인시 수지구 경부고속도로 400	16867	37.3325640693	127.1048754420	환경부(한국자동차환경협회)	DC차데모+AC3상+DC콤보
용인시	용인휴게소(강릉방향)	경기도 용인시 처인구 고림동 12-6번지	경기도 용인시 처인구 주북로94번길 30-1	17149	37.2455167878	127.2423137888	환경부(한국자동차환경협회)	DC차데모+AC3상+DC콤보
용인시	아르피아스포츠센터	경기도 용인시 수지구 죽전동 1003-43번지	경기도 용인시 수지구 포은대로 499	16870	37.3255782532	127.1048555877	한국전기차충전서비스	AC완속
용인시	기흥 금화마을 주공3단지	경기도 용인시 기흥구 상갈동 481번지 입구주차장①②③ ,307동입구 2기계실 ④⑤⑥ ,309동입구4기계실옆 ⑦⑧⑨	경기도 용인시 기흥구 금화로11번길 10	17073	37.2630066468	127.1084871465	이카플러그	AC완속
용인시	모현면사무소	경기도 용인시 처인구 모현읍 갈담리 309번지	경기도 용인시 처인구 모현읍 독점로 31-6	17036	37.3294550112	127.2423886045	한국전기차충전서비스	DC차데모+AC3상+DC콤보
용인시	한국델파이	경기도 용인시 기흥구 마북동 408-1번지 주차장	경기도 용인시 기흥구 용구대로 2302	16920	37.2918802680	127.1118124861	한국전기차충전서비스	AC완속
용인시	기후변화체험센터	경기도 용인시 처인구 남동 282번지	경기도 용인시 처인구 동부로162번길 14	17147	37.2221095569	127.2233328019	한국전력	DC차데모+AC3상+DC콤보
용인시	용인시 에이스동백타워	경기도 용인시 기흥구 중동 1033번지 7층 옥외주차장	경기도 용인시 기흥구 동백중앙로16번길 16-4	17015	37.2563658009	127.1651202242	차지비	AC완속
용인시	용인하갈정비소	경기도 용인시 기흥구 하갈동 166-1번지 용인하갈정비소	경기도 용인시 기흥구 용구대로 1845	17080	37.2529527336	127.1047728701	에스트래픽	DC차데모+DC콤보
용인시	영덕동주민센터	경기도 용인시 기흥구 영덕동 1208번지 영덕동주민센터	경기도 용인시 기흥구 흥덕2로118번길 2	16953	37.2778255436	127.0745137864	에버온	AC완속
용인시	용인시청 기흥도서관	경기도 용인시 기흥구 신갈동 산14번지 지하1층 주차장 벽면 지하1층 주차장 벽면	경기도 용인시 기흥구 기흥로116번길 10	16960	37.2861890950	127.1135339223	지엔텔	AC완속
용인시	용인시민체육공원	경기도 용인시 처인구 삼가동 28-6	경기도 용인시 처인구 동백죽전대로 61	16997	37.2496234432	127.1651613410	환경부(한국자동차환경협회)	DC콤보
용인시	롯데마트 신갈점	경기도 용인시 기흥구 신갈동 63번지 기흥역롯데캐슬스카이 지하2층 10	경기도 용인시 기흥구 중부대로 375	17064	37.2723111358	127.1091157261	환경부(한국자동차환경협회)	DC콤보
